epoch,loss,mean_absolute_error,mean_squared_error,psnr,sharpdiff,ssim_multiscale,total_variation,val_loss,val_mean_absolute_error,val_mean_squared_error,val_psnr,val_sharpdiff,val_ssim_multiscale,val_total_variation
0,6582.48681640625,0.19709445536136627,0.07466533780097961,11.392168045043945,5.286025047302246,4.191749095916748,87345.3984375,1219.5499267578125,0.060360610485076904,0.009187922812998295,21.090953826904297,11.856918334960938,8.969697952270508,32412.4375
1,4443.4609375,0.13833707571029663,0.05197121948003769,12.908994674682617,5.184026718139648,6.363051414489746,102440.578125,361.52301025390625,0.027677856385707855,0.0023757538292557,26.884334564208984,14.467056274414062,9.755471229553223,31454.255859375
2,4147.44189453125,0.1278720498085022,0.04939086735248566,13.1300048828125,5.250901222229004,6.649979591369629,103214.25,273.901123046875,0.02302439697086811,0.0016114284517243505,28.49486541748047,15.259716033935547,9.829755783081055,30367.60546875
3,4057.63720703125,0.12425638735294342,0.04866057261824608,13.194308280944824,5.283620834350586,6.721479892730713,103073.6640625,196.12632751464844,0.01958669349551201,0.0013313934905454516,29.477327346801758,15.840986251831055,9.877875328063965,29825.13671875
4,4015.8681640625,0.12211766839027405,0.048290178179740906,13.231122016906738,5.303913116455078,6.756941318511963,102936.0703125,170.47727966308594,0.018061408773064613,0.00112340843770653,30.318222045898438,16.388381958007812,9.900179862976074,28867.845703125
5,3977.55419921875,0.119936004281044,0.04791544750332832,13.267984390258789,5.3213019371032715,6.786235809326172,102814.59375,256.846435546875,0.02426246553659439,0.0016907119425013661,28.32355308532715,16.287574768066406,9.866748809814453,27404.16015625
6,3936.48583984375,0.1180892065167427,0.04754674807190895,13.298051834106445,5.332247257232666,6.803534507751465,102749.140625,389.20263671875,0.03528214991092682,0.0035401906352490187,25.102630615234375,15.983919143676758,9.809514045715332,25668.359375
7,3915.810791015625,0.11653825640678406,0.04733629152178764,13.320253372192383,5.343081474304199,6.821277141571045,102686.8671875,847.6663208007812,0.059210266917943954,0.00957580842077732,20.723464965820312,14.995009422302246,9.551690101623535,22870.595703125
8,3891.039306640625,0.11541033536195755,0.04716441035270691,13.335196495056152,5.349059581756592,6.829935073852539,102671.96875,1695.507568359375,0.0890725627541542,0.021323125809431076,17.201990127563477,13.931915283203125,8.97566032409668,19293.134765625
9,3879.736328125,0.11439010500907898,0.04705968126654625,13.34691047668457,5.356173992156982,6.839257717132568,102616.5078125,2640.3447265625,0.11374878138303757,0.03479904681444168,15.09329891204834,13.253223419189453,8.27730655670166,16393.017578125
10,3864.5625,0.11343803256750107,0.046940818428993225,13.358569145202637,5.362220287322998,6.847720146179199,102577.265625,2900.791015625,0.11945932358503342,0.03849847987294197,14.641753196716309,13.094900131225586,8.071784973144531,15588.708984375
11,3852.041015625,0.11276338994503021,0.046792708337306976,13.3678560256958,5.368117809295654,6.852825164794922,102516.4453125,3399.949462890625,0.12946487963199615,0.04549511894583702,13.924843788146973,12.873337745666504,7.697696685791016,14208.052734375
12,3835.828857421875,0.11210757493972778,0.04669392853975296,13.3771390914917,5.373084545135498,6.858863353729248,102473.859375,3103.671630859375,0.12356406450271606,0.041595492511987686,14.286972999572754,13.055392265319824,7.910604476928711,14857.009765625
