epoch,loss,val_loss,val_x_logits_loss,val_x_logpdf_loss,val_z_latents_loss,x_logits_loss,x_logpdf_loss,z_latents_loss
0,7483.41552734375,3623.1923828125,3621.84033203125,-1.2889816761016846,2.4063737392425537,7482.0849609375,-1.3321043252944946,2.4740002155303955
1,6410.23876953125,3343.239990234375,3341.80419921875,-1.3148183822631836,2.4601171016693115,6408.66162109375,-1.3015427589416504,2.528759479522705
2,6274.525390625,3154.087646484375,3152.470703125,-1.3369609117507935,2.606140375137329,6272.796875,-1.3244296312332153,2.624521017074585
3,6206.37548828125,3149.973876953125,3148.30712890625,-1.3436427116394043,2.6530144214630127,6204.5517578125,-1.3466717004776,2.711947202682495
4,6171.04443359375,3001.4345703125,2999.764892578125,-1.3666070699691772,2.6152849197387695,6169.13330078125,-1.3577971458435059,2.786146879196167
5,6143.73486328125,2883.78369140625,2881.991943359375,-1.3728793859481812,2.70499587059021,6141.72265625,-1.3649592399597168,2.847663402557373
6,6115.17431640625,2953.060546875,2951.22265625,-1.3657200336456299,2.7710044384002686,6113.1005859375,-1.3701932430267334,2.901373863220215
7,6101.74462890625,2892.416015625,2890.429443359375,-1.378731369972229,2.8822591304779053,6099.63134765625,-1.373447060585022,2.947037696838379
8,6082.1181640625,2761.95849609375,2759.9609375,-1.381349802017212,2.824122428894043,6079.935546875,-1.3777638673782349,2.987854480743408
9,6070.79150390625,2886.76513671875,2884.774169921875,-1.3855873346328735,2.8626620769500732,6068.5595703125,-1.3782188892364502,3.0201897621154785
10,6055.8935546875,2830.205078125,2828.093017578125,-1.3795725107192993,2.9439425468444824,6053.5732421875,-1.3805702924728394,3.05366849899292
11,6042.56591796875,2879.067138671875,2876.98828125,-1.3801906108856201,2.932288408279419,6040.22802734375,-1.3795384168624878,3.071709156036377
12,6025.6142578125,2814.862060546875,2812.703369140625,-1.3871171474456787,2.966853141784668,6023.21875,-1.381066083908081,3.0915141105651855
13,6023.9306640625,2736.8359375,2734.612548828125,-1.3829787969589233,2.9875869750976562,6021.49560546875,-1.3819600343704224,3.108150005340576
14,6010.69384765625,2805.97607421875,2803.77783203125,-1.3830015659332275,2.9782562255859375,6008.22412109375,-1.3829668760299683,3.1196324825286865
15,6004.46728515625,2725.04052734375,2722.755126953125,-1.3894774913787842,2.976710319519043,6001.97509765625,-1.3862918615341187,3.1309611797332764
16,5991.404296875,2726.430419921875,2724.08837890625,-1.3916620016098022,2.9972925186157227,5988.88134765625,-1.3862172365188599,3.135054588317871
17,5990.53369140625,2746.991943359375,2744.699951171875,-1.3917213678359985,2.969883680343628,5987.96533203125,-1.3876861333847046,3.1390457153320312
18,5979.26806640625,2677.1533203125,2674.818115234375,-1.3886795043945312,2.956759452819824,5976.67626953125,-1.3881045579910278,3.139106273651123
19,5973.01318359375,2771.69287109375,2769.45849609375,-1.390229344367981,2.9070639610290527,5970.39599609375,-1.388635516166687,3.1365036964416504
20,5967.0859375,2799.237548828125,2797.0146484375,-1.3874473571777344,2.9009857177734375,5964.43896484375,-1.3886629343032837,3.1269924640655518
21,5962.3310546875,2776.36474609375,2774.035888671875,-1.3956873416900635,2.947268486022949,5959.6416015625,-1.3877577781677246,3.12176775932312
22,5959.98779296875,2692.3359375,2689.851318359375,-1.4046801328659058,3.003621816635132,5957.306640625,-1.3892558813095093,3.1190056800842285
23,5939.0439453125,2696.365478515625,2694.04638671875,-1.3910493850708008,2.888819932937622,5936.31982421875,-1.3914592266082764,3.1132373809814453
24,5940.02880859375,2803.461669921875,2801.178466796875,-1.3915998935699463,2.8596062660217285,5937.28759765625,-1.3926573991775513,3.104640007019043
25,5936.08837890625,2700.642578125,2698.241943359375,-1.3901021480560303,2.889451503753662,5933.3427734375,-1.3945411443710327,3.0991275310516357
26,5936.0888671875,2754.168212890625,2751.682861328125,-1.3977341651916504,2.9539506435394287,5933.32861328125,-1.3959593772888184,3.0900399684906006
27,5928.8359375,2682.53369140625,2679.9833984375,-1.3905003070831299,2.960827589035034,5926.05712890625,-1.395735740661621,3.080366849899292
28,5920.33984375,2683.927001953125,2681.49462890625,-1.3937790393829346,2.887129783630371,5917.53466796875,-1.3955986499786377,3.0738725662231445
29,5927.47900390625,2690.1455078125,2687.694091796875,-1.3977314233779907,2.878105878829956,5924.6708984375,-1.3954378366470337,3.066338062286377
30,5912.03759765625,2691.38623046875,2688.972900390625,-1.3978146314620972,2.8331587314605713,5909.2001953125,-1.3949960470199585,3.0585274696350098
31,5902.1806640625,2777.712646484375,2775.349365234375,-1.3992321491241455,2.8699615001678467,5899.33544921875,-1.39561128616333,3.0513949394226074
32,5906.646484375,2670.878662109375,2668.406982421875,-1.3996856212615967,2.8427650928497314,5903.787109375,-1.3968031406402588,3.0478463172912598
33,5914.259765625,2699.056396484375,2696.497314453125,-1.3995070457458496,2.910353183746338,5911.37255859375,-1.394824504852295,3.0370755195617676
34,5912.94091796875,2681.623779296875,2679.2060546875,-1.3979779481887817,2.8001294136047363,5910.0498046875,-1.3962111473083496,3.0303032398223877
35,5898.91064453125,2618.5224609375,2615.90380859375,-1.3976842164993286,2.855966567993164,5896.0185546875,-1.394385576248169,3.0180728435516357
36,5905.52880859375,2672.1005859375,2669.654296875,-1.390656590461731,2.798835039138794,5902.61572265625,-1.3918787240982056,3.004365921020508
37,5903.78369140625,2598.6572265625,2595.9736328125,-1.3855915069580078,2.8807685375213623,5900.86083984375,-1.392767071723938,2.9944722652435303
